epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
162,15175.4,0.89714,0.36505,0.99597,0.9744,0.94702,0.97873,0.73137,0.85342,0.55494,0.9479,0.0059754,0.0059754,0.0059754
163,15608.9,0.8999,0.36803,0.99599,0.97453,0.94694,0.97871,0.7313,0.8533,0.55522,0.94787,0.0059504,0.0059504,0.0059504
164,16230,0.89506,0.366,0.99462,0.97452,0.94702,0.97875,0.73136,0.85332,0.55522,0.94791,0.00592541,0.00592541,0.00592541
165,16664,0.89257,0.36241,0.99501,0.97454,0.94711,0.97881,0.73148,0.8532,0.55506,0.94792,0.00590041,0.00590041,0.00590041
166,17098.1,0.89439,0.36485,0.99476,0.9744,0.94715,0.9788,0.73164,0.85315,0.55454,0.94792,0.00587541,0.00587541,0.00587541
167,17531.6,0.89011,0.36281,0.99465,0.97457,0.94714,0.97881,0.73154,0.85298,0.55425,0.94794,0.00585042,0.00585042,0.00585042
168,17965.2,0.89297,0.36252,0.99633,0.9745,0.94723,0.97886,0.73188,0.85301,0.55372,0.94796,0.00582542,0.00582542,0.00582542
169,18398.9,0.89068,0.36215,0.99374,0.97456,0.94727,0.9789,0.73198,0.85299,0.55331,0.94795,0.00580042,0.00580042,0.00580042
170,18832.7,0.89336,0.36278,0.99269,0.97456,0.94723,0.97892,0.73198,0.85298,0.55333,0.94794,0.00577542,0.00577542,0.00577542
171,19265.3,0.88854,0.36151,0.99108,0.97465,0.94727,0.97892,0.73208,0.85308,0.55215,0.94793,0.00575042,0.00575042,0.00575042
172,19698.2,0.88834,0.3603,0.99278,0.97464,0.94738,0.97892,0.73207,0.85309,0.5516,0.94796,0.00572543,0.00572543,0.00572543
173,20131.4,0.88565,0.3593,0.99095,0.97472,0.94727,0.97896,0.73217,0.85303,0.55178,0.94791,0.00570043,0.00570043,0.00570043
174,20563.9,0.88681,0.35987,0.99283,0.97489,0.94717,0.97897,0.73211,0.8531,0.55129,0.94798,0.00567543,0.00567543,0.00567543
175,20996.7,0.88569,0.35921,0.99157,0.97517,0.94711,0.97898,0.73222,0.85321,0.55093,0.94799,0.00565043,0.00565043,0.00565043
176,21428.9,0.88294,0.35874,0.98902,0.9749,0.94714,0.97893,0.7323,0.85312,0.55056,0.94795,0.00562544,0.00562544,0.00562544
177,21873,0.88356,0.3586,0.98923,0.97455,0.94735,0.97893,0.73236,0.85312,0.5504,0.94795,0.00560044,0.00560044,0.00560044
178,22305.4,0.88182,0.35695,0.9901,0.97471,0.94737,0.97894,0.73249,0.85319,0.55036,0.94794,0.00557544,0.00557544,0.00557544
179,22738.1,0.87731,0.35608,0.98804,0.97458,0.94746,0.97898,0.73252,0.85313,0.55058,0.94795,0.00555044,0.00555044,0.00555044
180,23170.7,0.87892,0.35558,0.98875,0.97481,0.94743,0.979,0.73272,0.85305,0.55057,0.94796,0.00552545,0.00552545,0.00552545
181,23603.3,0.88081,0.35707,0.9895,0.97433,0.94779,0.97899,0.73278,0.85305,0.54893,0.94798,0.00550045,0.00550045,0.00550045
